Year,GEO,After-tax income#Economic families#Median income#2018 constant dollars#units#11100237_StatsCanada
1995,"Toronto, Ontario",68600
1995,"Vancouver, British Columbia",66000
1995,"Winnipeg, Manitoba",61900
1996,Alberta,62800
1996,Atlantic provinces,50600
1996,British Columbia,63600
1996,"Calgary, Alberta",66100
1996,Canada,59600
1996,"Edmonton, Alberta",66300
1996,Manitoba,57400
1996,"Montréal, Quebec",55500
1996,New Brunswick,51600
1996,Newfoundland and Labrador,47800
1996,Nova Scotia,51200
1996,Ontario,66200
1996,"Ottawa-Gatineau, Ontario/Quebec",67300
1996,Prairie provinces,59500
1996,Prince Edward Island,53100
1996,Quebec,53900
1996,"Québec, Quebec",57400
1996,Saskatchewan,54400
1996,"Toronto, Ontario",70800
1996,"Vancouver, British Columbia",65900
1996,"Winnipeg, Manitoba",60800
1997,Alberta,65300
1997,Atlantic provinces,50300
1997,British Columbia,63500
1997,"Calgary, Alberta",67900
1997,Canada,59900
1997,"Edmonton, Alberta",67300
1997,Manitoba,57400
1997,"Montréal, Quebec",54600
1997,New Brunswick,51300
1997,Newfoundland and Labrador,47300
1997,Nova Scotia,50700
1997,Ontario,66600
1997,"Ottawa-Gatineau, Ontario/Quebec",69100
1997,Prairie provinces,60800
1997,Prince Edward Island,52600
1997,Quebec,52800
1997,"Québec, Quebec",60900
1997,Saskatchewan,54500
1997,"Toronto, Ontario",70800
1997,"Vancouver, British Columbia",67900
1997,"Winnipeg, Manitoba",60900
1998,Alberta,67300
1998,Atlantic provinces,52800
1998,British Columbia,64800
1998,"Calgary, Alberta",73900
1998,Canada,62200
1998,"Edmonton, Alberta",70800
1998,Manitoba,58500
1998,"Montréal, Quebec",57600
1998,New Brunswick,53600
1998,Newfoundland and Labrador,49800
1998,Nova Scotia,54600
1998,Ontario,69900
1998,"Ottawa-Gatineau, Ontario/Quebec",67600
1998,Prairie provinces,62500
1998,Prince Edward Island,53600
1998,Quebec,54400
1998,"Québec, Quebec",61200
1998,Saskatchewan,55600
1998,"Toronto, Ontario",75900
1998,"Vancouver, British Columbia",70500
1998,"Winnipeg, Manitoba",64000
1999,Alberta,67100
1999,Atlantic provinces,54700
1999,British Columbia,64700
1999,"Calgary, Alberta",71800
1999,Canada,64300
1999,"Edmonton, Alberta",69000
1999,Manitoba,60200
1999,"Montréal, Quebec",58000
1999,New Brunswick,55800
1999,Newfoundland and Labrador,50000
1999,Nova Scotia,56900
1999,Ontario,72600
1999,"Ottawa-Gatineau, Ontario/Quebec",71000
1999,Prairie provinces,63900
