Year,GEO,"RATE_Care providers and educational, legal and public protection support occupations [44]#Persons#thousands#14100314_StatsCanada"
2010,"Edmonton, Alberta",10.2
2010,"Greater Sudbury, Ontario",
2010,"Guelph, Ontario",
2010,"Halifax, Nova Scotia",2.7
2010,"Hamilton, Ontario",3.8
2010,"Kelowna, British Columbia",1.6
2010,"Kingston, Ontario",2.0
2010,"Kitchener-Cambridge-Waterloo, Ontario",2.2
2010,"London, Ontario",2.4
2010,"Moncton, New Brunswick",1.6
2010,"Montréal, Quebec",21.2
2010,"Oshawa, Ontario",2.4
2010,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",4.8
2010,"Ottawa-Gatineau, Ontario/Quebec",6.1
2010,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2010,"Peterborough, Ontario",
2010,"Québec, Quebec",2.1
2010,"Regina, Saskatchewan",1.0
2010,"Saguenay, Quebec",
2010,"Saint John, New Brunswick",1.4
2010,"Saskatoon, Saskatchewan",2.3
2010,"Sherbrooke, Quebec",
2010,"St. Catharines-Niagara, Ontario",2.3
2010,"St. John's, Newfoundland and Labrador",2.0
2010,"Thunder Bay, Ontario",
2010,"Toronto, Ontario",39.5
2010,"Trois-Rivières, Quebec",
2010,"Vancouver, British Columbia",18.9
2010,"Victoria, British Columbia",3.8
2010,"Windsor, Ontario",
2010,"Winnipeg, Manitoba",8.9
2011,"Abbotsford-Mission, British Columbia",2.0
2011,"Barrie, Ontario",
2011,"Brantford, Ontario",
2011,"Calgary, Alberta",8.7
2011,"Edmonton, Alberta",9.4
2011,"Greater Sudbury, Ontario",
2011,"Guelph, Ontario",
2011,"Halifax, Nova Scotia",3.4
2011,"Hamilton, Ontario",3.5
2011,"Kelowna, British Columbia",1.6
2011,"Kingston, Ontario",1.6
2011,"Kitchener-Cambridge-Waterloo, Ontario",2.0
2011,"London, Ontario",3.2
2011,"Moncton, New Brunswick",1.3
2011,"Montréal, Quebec",18.6
2011,"Oshawa, Ontario",2.0
2011,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5.5
2011,"Ottawa-Gatineau, Ontario/Quebec",6.6
2011,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2011,"Peterborough, Ontario",
2011,"Québec, Quebec",3.2
2011,"Regina, Saskatchewan",1.7
2011,"Saguenay, Quebec",
2011,"Saint John, New Brunswick",1.1
2011,"Saskatoon, Saskatchewan",1.5
2011,"Sherbrooke, Quebec",
2011,"St. Catharines-Niagara, Ontario",2.4
2011,"St. John's, Newfoundland and Labrador",2.0
2011,"Thunder Bay, Ontario",
2011,"Toronto, Ontario",38.6
2011,"Trois-Rivières, Quebec",
2011,"Vancouver, British Columbia",20.4
2011,"Victoria, British Columbia",3.8
2011,"Windsor, Ontario",1.9
2011,"Winnipeg, Manitoba",9.4
2012,"Abbotsford-Mission, British Columbia",1.7
2012,"Barrie, Ontario",
2012,"Brantford, Ontario",
2012,"Calgary, Alberta",11.4
2012,"Edmonton, Alberta",10.3
2012,"Greater Sudbury, Ontario",
2012,"Guelph, Ontario",
2012,"Halifax, Nova Scotia",3.7
2012,"Hamilton, Ontario",3.4
2012,"Kelowna, British Columbia",
2012,"Kingston, Ontario",2.1
2012,"Kitchener-Cambridge-Waterloo, Ontario",2.7
2012,"London, Ontario",2.2
2012,"Moncton, New Brunswick",1.3
2012,"Montréal, Quebec",21.7
2012,"Oshawa, Ontario",2.7
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",6.0
2012,"Ottawa-Gatineau, Ontario/Quebec",7.6
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1.6
2012,"Peterborough, Ontario",
2012,"Québec, Quebec",2.4
2012,"Regina, Saskatchewan",1.8
2012,"Saguenay, Quebec",
2012,"Saint John, New Brunswick",1.4
2012,"Saskatoon, Saskatchewan",2.2
2012,"Sherbrooke, Quebec",1.6
2012,"St. Catharines-Niagara, Ontario",2.2
2012,"St. John's, Newfoundland and Labrador",2.1
2012,"Thunder Bay, Ontario",
2012,"Toronto, Ontario",43.6
2012,"Trois-Rivières, Quebec",
2012,"Vancouver, British Columbia",18.9
2012,"Victoria, British Columbia",3.3
2012,"Windsor, Ontario",1.9
2012,"Winnipeg, Manitoba",7.8
2013,"Abbotsford-Mission, British Columbia",2.5
2013,"Barrie, Ontario",1.6
2013,"Brantford, Ontario",
2013,"Calgary, Alberta",12.3
2013,"Edmonton, Alberta",11.1
2013,"Greater Sudbury, Ontario",
2013,"Guelph, Ontario",1.7
2013,"Halifax, Nova Scotia",4.2
2013,"Hamilton, Ontario",4.2
2013,"Kelowna, British Columbia",
2013,"Kingston, Ontario",2.2
2013,"Kitchener-Cambridge-Waterloo, Ontario",3.5
2013,"London, Ontario",3.0
2013,"Moncton, New Brunswick",1.0
2013,"Montréal, Quebec",22.2
2013,"Oshawa, Ontario",3.2
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",7.3
2013,"Ottawa-Gatineau, Ontario/Quebec",8.4
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2013,"Peterborough, Ontario",
2013,"Québec, Quebec",3.3
2013,"Regina, Saskatchewan",2.0
2013,"Saguenay, Quebec",
2013,"Saint John, New Brunswick",2.1
2013,"Saskatoon, Saskatchewan",2.9
2013,"Sherbrooke, Quebec",
2013,"St. Catharines-Niagara, Ontario",3.0
2013,"St. John's, Newfoundland and Labrador",2.3
2013,"Thunder Bay, Ontario",
2013,"Toronto, Ontario",45.1
2013,"Trois-Rivières, Quebec",
2013,"Vancouver, British Columbia",18.9
2013,"Victoria, British Columbia",4.0
2013,"Windsor, Ontario",1.6
2013,"Winnipeg, Manitoba",8.7
2014,"Abbotsford-Mission, British Columbia",2.7
2014,"Barrie, Ontario",
2014,"Brantford, Ontario",
2014,"Calgary, Alberta",10.7
2014,"Edmonton, Alberta",10.4
2014,"Greater Sudbury, Ontario",
2014,"Guelph, Ontario",
2014,"Halifax, Nova Scotia",3.2
2014,"Hamilton, Ontario",5.1
2014,"Kelowna, British Columbia",
2014,"Kingston, Ontario",2.1
2014,"Kitchener-Cambridge-Waterloo, Ontario",3.5
2014,"London, Ontario",3.0
2014,"Moncton, New Brunswick",1.5
