Year,GEO,RATE_Robbery [1610]#Cleared otherwise#Number#units #35100177_StatsCanada,"RATE_Sexual assault, level 1 [1330]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Possession of weapons [3375]#Total, youth not charged#Number#units #35100177_StatsCanada","RATE_Theft $5,000 or under from a motor vehicle [2142]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Other Controlled Drugs and Substances Act, importation and exportation [4330]#Cleared otherwise#Number#units #35100177_StatsCanada","RATE_Uttering threats [1627]#Total, youth not charged#Number#units #35100177_StatsCanada",RATE_Criminal harassment [1625]#Actual incidents#Number#units #35100177_StatsCanada,"RATE_Total, all Criminal Code violations (including traffic) [25]#Cleared otherwise#Number#units #35100177_StatsCanada"
2014,Alberta [48],61,1174,106,272,0,413,2032,52070
2014,"Barrie, Ontario [35568]",0,44,4,7,0,14,183,927
2014,"Belleville, Ontario [35522]",,,,,0,,,
2014,"Brantford, Ontario [35543]",1,40,2,33,0,18,142,947
2014,British Columbia [59],84,1049,201,439,,299,2098,52586
2014,"Calgary, Alberta [48825]",16,167,34,14,0,45,344,5836
2014,Canada,757,8863,833,3574,1,3310,19640,304056
2014,"Edmonton, Alberta [48835]",10,387,27,115,0,85,529,7950
2014,"Greater Sudbury, Ontario [35580]",2,66,1,13,0,22,226,678
2014,"Guelph, Ontario [35550]",3,33,4,19,0,16,120,564
2014,"Halifax, Nova Scotia [12205]",9,78,6,36,0,18,138,1761
2014,"Hamilton, Ontario [35537]",21,120,8,47,0,49,219,3403
2014,"Kelowna, British Columbia [59915]",4,25,7,13,1,13,57,3239
2014,"Kingston, Ontario [35521]",1,49,0,38,0,15,256,970
2014,"Kitchener-Cambridge-Waterloo, Ontario [35541]",10,112,39,129,87,35,366,1908
2014,"Lethbridge, Alberta [48810]",,,,,0,,,
2014,"London, Ontario [35555]",18,88,12,46,0,23,228,3234
2014,Manitoba [46],41,666,54,64,0,222,227,23401
2014,"Moncton, New Brunswick [13305]",1,41,5,9,0,17,85,805
2014,"Montréal, Quebec [24462]",191,510,21,452,0,296,1874,17565
2014,New Brunswick [13],4,174,13,62,2,88,556,4449
2014,Newfoundland and Labrador [10],4,114,2,38,0,90,235,4778
2014,Northwest Territories [61],3,77,3,0,0,19,76,11447
2014,Nova Scotia [12],19,236,18,92,1,156,531,9121
2014,Nunavut [62],2,123,2,0,0,23,52,6826
2014,Ontario [35],258,3288,346,1413,3,857,8421,63809
2014,"Ottawa-Gatineau, Ontario part [35505]",19,142,33,77,1,35,406,4135
2014,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",22,167,37,102,0,100,641,6481
2014,"Ottawa-Gatineau, Quebec part [24505]",3,25,4,25,0,65,235,2346
2014,"Peterborough, Ontario [35529]",1,33,1,26,1,5,69,738
2014,Prince Edward Island [11],1,25,2,18,0,14,75,784
2014,Quebec [24],243,1398,46,1042,46,944,4645,47716
2014,"Québec, Quebec [24421]",4,158,2,79,0,51,472,3099
2014,"Regina, Saskatchewan [47705]",9,59,4,31,34,10,19,967
2014,"Saguenay, Quebec [24408]",2,24,0,32,1,28,191,911
2014,"Saint John, New Brunswick [13310]",1,15,3,29,40,24,228,1403
2014,Saskatchewan [47],34,505,38,134,1,166,639,22766
2014,"Saskatoon, Saskatchewan [47725]",3,69,12,39,0,23,190,1036
2014,"Sherbrooke, Quebec [24433]",3,31,1,18,0,12,118,1038
2014,"St. John's, Newfoundland and Labrador [10001]",3,5,1,3,6,40,161,1326
2014,"St.Catharines-Niagara, Ontario [35539]",7,49,13,47,0,26,139,1831
2014,"Thunder Bay, Ontario [35595]",3,58,8,8,,29,201,1205
2014,"Toronto, Ontario [35535]",129,1219,130,617,0,175,2843,18005
2014,"Trois-Rivières, Quebec [24442]",1,25,1,37,63,25,64,1026
2014,"Vancouver, British Columbia [59933]",36,369,120,198,4,115,796,17701
2014,"Victoria, British Columbia [59935]",10,65,9,36,134,9,204,3296
2014,"Windsor, Ontario [35559]",18,66,4,59,1,22,163,1725
2014,"Winnipeg, Manitoba [46602]",20,312,9,41,0,47,93,1839
2014,Yukon [60],3,34,2,0,0,19,53,4303
2015,"Abbotsford-Mission, British Columbia [59932]",3,50,4,26,1,17,77,1226
2015,Alberta [48],57,1051,106,269,0,356,2185,50911
2015,"Barrie, Ontario [35568]",0,40,10,3,0,19,240,803
2015,"Belleville, Ontario [35522]",,,,,0,,,
2015,"Brantford, Ontario [35543]",1,50,5,41,0,13,167,939
2015,British Columbia [59],77,1131,161,441,,257,1991,49499
2015,"Calgary, Alberta [48825]",17,195,15,10,1,58,422,5841
2015,Canada,747,8552,754,3681,5,3064,20038,297940
2015,"Edmonton, Alberta [48835]",12,326,43,107,0,61,544,8260
2015,"Greater Sudbury, Ontario [35580]",0,55,3,13,0,20,239,654
2015,"Guelph, Ontario [35550]",0,28,8,15,1,21,109,465
2015,"Halifax, Nova Scotia [12205]",4,92,7,44,0,11,151,1700
2015,"Hamilton, Ontario [35537]",20,125,11,46,0,53,206,3310
2015,"Kelowna, British Columbia [59915]",4,27,3,48,1,13,33,3273
2015,"Kingston, Ontario [35521]",3,37,0,42,0,12,196,791
2015,"Kitchener-Cambridge-Waterloo, Ontario [35541]",1,121,16,112,52,39,384,1912
2015,"Lethbridge, Alberta [48810]",,,,,0,,,
2015,"London, Ontario [35555]",13,96,23,51,0,20,212,2562
2015,Manitoba [46],37,591,54,61,0,223,225,23212
2015,"Moncton, New Brunswick [13305]",2,35,2,17,0,8,109,611
2015,"Montréal, Quebec [24462]",161,526,26,477,0,277,1942,17307
2015,New Brunswick [13],13,166,6,67,5,84,628,4084
2015,Newfoundland and Labrador [10],6,113,3,34,0,64,329,4151
2015,Northwest Territories [61],1,98,0,1,0,20,94,11166
2015,Nova Scotia [12],6,224,15,72,0,98,515,8784
2015,Nunavut [62],1,110,0,0,0,18,69,7477
2015,Ontario [35],309,3122,306,1344,1,901,8385,65367
2015,"Ottawa-Gatineau, Ontario part [35505]",23,129,29,78,0,29,290,3961
2015,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",27,164,33,126,0,84,508,6669
2015,"Ottawa-Gatineau, Quebec part [24505]",4,35,4,48,0,55,218,2708
2015,"Peterborough, Ontario [35529]",0,42,0,14,0,5,72,687
2015,Prince Edward Island [11],0,27,0,18,2,3,69,560
2015,Quebec [24],213,1340,57,1156,29,854,4921,46123
2015,"Québec, Quebec [24421]",4,121,1,91,0,52,585,2882
2015,"Regina, Saskatchewan [47705]",3,44,6,83,63,6,30,870
2015,"Saguenay, Quebec [24408]",3,29,1,39,0,16,172,889
2015,"Saint John, New Brunswick [13310]",11,16,1,15,14,25,207,1399
2015,Saskatchewan [47],23,535,46,217,1,160,576,22347
2015,"Saskatoon, Saskatchewan [47725]",4,82,13,36,0,18,111,1068
2015,"Sherbrooke, Quebec [24433]",3,21,0,28,0,12,119,770
2015,"St. John's, Newfoundland and Labrador [10001]",6,9,2,6,5,16,203,1003
2015,"St.Catharines-Niagara, Ontario [35539]",5,100,9,26,0,17,129,1712
2015,"Thunder Bay, Ontario [35595]",9,46,9,4,0,22,167,1131
2015,"Toronto, Ontario [35535]",182,1086,117,562,0,215,2966,20794
2015,"Trois-Rivières, Quebec [24442]",3,29,0,49,44,22,82,1002
2015,"Vancouver, British Columbia [59933]",55,379,86,173,3,66,865,14549
2015,"Victoria, British Columbia [59935]",3,93,7,18,99,10,218,2779
2015,"Windsor, Ontario [35559]",12,59,0,59,0,27,269,2135
2015,"Winnipeg, Manitoba [46602]",24,259,18,41,0,49,85,2265
2015,Yukon [60],4,44,0,1,0,26,51,4259
2016,"Abbotsford-Mission, British Columbia [59932]",1,39,1,8,0,10,70,1145
2016,Alberta [48],38,899,112,282,0,295,1990,46842
2016,"Barrie, Ontario [35568]",1,32,5,5,0,17,206,881
2016,"Belleville, Ontario [35522]",0,19,2,23,0,20,203,1080
2016,"Brantford, Ontario [35543]",0,28,2,12,0,19,182,996
2016,British Columbia [59],74,1073,135,305,0,287,1651,52873
2016,"Calgary, Alberta [48825]",6,172,23,33,0,33,426,5542
2016,Canada,723,7668,783,3099,4,3052,18960,295350
2016,"Edmonton, Alberta [48835]",14,246,39,104,0,84,538,8077
2016,"Greater Sudbury, Ontario [35580]",0,65,1,4,2,21,209,668
2016,"Guelph, Ontario [35550]",1,20,6,6,0,19,108,695
2016,"Halifax, Nova Scotia [12205]",5,68,1,10,0,15,119,1440
2016,"Hamilton, Ontario [35537]",21,118,16,48,0,73,220,3282
2016,"Kelowna, British Columbia [59915]",5,31,3,29,0,15,30,3501
2016,"Kingston, Ontario [35521]",2,37,0,41,0,9,169,771
2016,"Kitchener-Cambridge-Waterloo, Ontario [35541]",2,43,30,128,36,50,371,2067
2016,"Lethbridge, Alberta [48810]",3,27,3,45,1,4,31,1060
2016,"London, Ontario [35555]",12,100,15,43,1,17,172,2552
2016,Manitoba [46],38,466,63,95,0,210,219,23927
2016,"Moncton, New Brunswick [13305]",4,30,2,8,0,14,79,618
2016,"Montréal, Quebec [24462]",171,494,42,508,0,306,2143,18555
2016,New Brunswick [13],24,188,15,65,10,84,529,4247
2016,Newfoundland and Labrador [10],1,93,3,18,3,46,362,4292
2016,Northwest Territories [61],3,64,0,0,0,10,77,10311
2016,Nova Scotia [12],10,206,10,43,0,134,431,8289
2016,Nunavut [62],1,94,6,0,0,11,70,7736
2016,Ontario [35],298,2736,319,1089,0,903,7742,63627
2016,"Ottawa-Gatineau, Ontario part [35505]",22,155,36,84,0,30,246,4052
2016,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",27,206,36,119,0,88,426,6781
2016,"Ottawa-Gatineau, Quebec part [24505]",5,51,0,35,0,58,180,2729
2016,"Peterborough, Ontario [35529]",0,33,2,5,0,3,83,741
2016,Prince Edward Island [11],2,23,0,27,0,8,79,601
2016,Quebec [24],220,1410,73,1058,28,864,5209,48284
2016,"Québec, Quebec [24421]",10,105,0,69,0,49,651,3506
2016,"Regina, Saskatchewan [47705]",3,34,7,31,44,12,33,1018
2016,"Saguenay, Quebec [24408]",4,31,0,33,0,24,149,947
2016,"Saint John, New Brunswick [13310]",20,32,8,25,0,20,141,1522
2016,Saskatchewan [47],14,383,46,117,2,175,557,20366
2016,"Saskatoon, Saskatchewan [47725]",0,43,11,31,0,20,80,1082
2016,"Sherbrooke, Quebec [24433]",2,33,2,13,0,7,102,448
2016,"St. John's, Newfoundland and Labrador [10001]",0,12,1,7,2,20,245,911
2016,"St.Catharines-Niagara, Ontario [35539]",1,25,13,32,0,19,101,1666
2016,"Thunder Bay, Ontario [35595]",4,37,7,5,0,10,154,951
2016,"Toronto, Ontario [35535]",191,1115,138,397,0,247,2763,20869
2016,"Trois-Rivières, Quebec [24442]",2,15,0,35,62,9,74,925
2016,"Vancouver, British Columbia [59933]",42,363,94,128,1,92,695,17278
2016,"Victoria, British Columbia [59935]",6,80,2,13,113,15,202,2673
2016,"Windsor, Ontario [35559]",12,65,2,46,1,26,162,1498
2016,"Winnipeg, Manitoba [46602]",23,192,28,73,0,43,75,2139
2016,Yukon [60],0,33,1,0,0,25,44,3955
2017,"Abbotsford-Mission, British Columbia [59932]",4,52,0,9,0,4,40,1014
2017,Alberta [48],44,956,93,430,0,354,1821,44678
2017,"Barrie, Ontario [35568]",1,54,6,11,0,22,221,965
2017,"Belleville, Ontario [35522]",2,44,2,2,0,14,219,1329
2017,"Brantford, Ontario [35543]",0,41,5,15,0,12,118,874
2017,British Columbia [59],72,1189,174,265,0,262,1635,51438
2017,"Calgary, Alberta [48825]",6,173,22,181,0,42,363,4533
2017,Canada,809,8207,839,3107,0,3324,19882,300083
2017,"Edmonton, Alberta [48835]",17,281,36,134,0,110,495,7801
2017,"Greater Sudbury, Ontario [35580]",2,62,6,6,2,11,198,694
2017,"Guelph, Ontario [35550]",2,38,9,10,0,22,131,692
2017,"Halifax, Nova Scotia [12205]",7,65,5,22,0,17,151,1664
2017,"Hamilton, Ontario [35537]",27,96,15,43,0,53,218,3318
2017,"Kelowna, British Columbia [59915]",3,27,5,17,0,16,36,3927
2017,"Kingston, Ontario [35521]",1,62,0,39,0,15,114,916
2017,"Kitchener-Cambridge-Waterloo, Ontario [35541]",3,70,25,72,36,51,511,2326
2017,"Lethbridge, Alberta [48810]",0,30,6,68,0,5,34,1228
2017,"London, Ontario [35555]",12,99,7,41,0,17,229,2716
2017,Manitoba [46],48,481,74,81,0,223,218,25631
2017,"Moncton, New Brunswick [13305]",0,34,1,11,0,15,82,575
2017,"Montréal, Quebec [24462]",178,615,35,410,0,336,2459,19922
2017,New Brunswick [13],19,202,9,100,13,96,554,4417
2017,Newfoundland and Labrador [10],3,102,9,11,0,58,399,4142
2017,Northwest Territories [61],3,83,2,2,0,13,59,10316
2017,Nova Scotia [12],13,235,14,54,0,124,464,7533
2017,Nunavut [62],0,97,6,1,0,13,60,7783
2017,Ontario [35],356,2948,314,975,0,998,7769,66843
2017,"Ottawa-Gatineau, Ontario part [35505]",13,127,19,45,0,43,260,4405
2017,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",21,175,21,77,0,95,485,7122
2017,"Ottawa-Gatineau, Quebec part [24505]",8,48,2,32,0,52,225,2717
2017,"Peterborough, Ontario [35529]",0,26,3,6,0,8,95,720
2017,Prince Edward Island [11],1,29,0,11,0,6,100,641
2017,Quebec [24],232,1472,63,1074,24,1016,6149,50939
2017,"Québec, Quebec [24421]",8,79,1,130,0,65,653,3599
2017,"Regina, Saskatchewan [47705]",4,55,18,34,61,13,37,993
2017,"Saguenay, Quebec [24408]",4,25,0,21,0,15,163,780
2017,"Saint John, New Brunswick [13310]",19,35,2,53,0,31,178,1626
2017,Saskatchewan [47],17,385,80,102,0,156,604,21722
2017,"Saskatoon, Saskatchewan [47725]",1,50,16,27,0,16,117,1185
2017,"Sherbrooke, Quebec [24433]",0,33,2,30,2,16,173,399
2017,"St. John's, Newfoundland and Labrador [10001]",0,12,3,3,3,26,277,677
2017,"St.Catharines-Niagara, Ontario [35539]",1,26,5,37,0,23,141,1592
2017,"Thunder Bay, Ontario [35595]",5,38,5,3,0,19,164,979
2017,"Toronto, Ontario [35535]",226,1130,157,409,0,289,2621,21604
2017,"Trois-Rivières, Quebec [24442]",1,24,1,68,33,15,102,914
2017,"Vancouver, British Columbia [59933]",51,401,96,110,1,99,680,16453
2017,"Victoria, British Columbia [59935]",2,98,12,17,85,10,196,2493
2017,"Windsor, Ontario [35559]",17,104,1,62,2,21,109,1227
2017,"Winnipeg, Manitoba [46602]",33,204,32,63,0,51,74,2564
2017,Yukon [60],1,28,1,1,0,5,50,4000
2018,"Abbotsford-Mission, British Columbia [59932]",3,51,1,25,0,13,46,1265
2018,Alberta [48],68,1195,68,453,0,338,1833,43805
2018,"Barrie, Ontario [35568]",2,48,7,2,0,34,141,828
2018,"Belleville, Ontario [35522]",3,33,4,2,0,20,204,1137
2018,"Brantford, Ontario [35543]",0,44,3,24,0,11,130,782
2018,British Columbia [59],75,1365,169,302,0,250,1619,53633
2018,"Calgary, Alberta [48825]",18,255,23,182,0,72,439,4228
2018,Canada,747,9848,737,3325,2,3264,19691,294078
2018,"Edmonton, Alberta [48835]",17,326,18,141,0,98,496,7402
2018,"Greater Sudbury, Ontario [35580]",0,76,5,11,2,19,139,753
2018,"Guelph, Ontario [35550]",7,41,8,11,0,22,108,735
2018,"Halifax, Nova Scotia [12205]",6,69,2,13,0,11,166,1941
2018,"Hamilton, Ontario [35537]",27,155,8,55,0,41,246,2933
2018,"Kelowna, British Columbia [59915]",2,25,5,22,1,8,34,4258
2018,"Kingston, Ontario [35521]",0,61,0,35,0,12,136,1063
2018,"Kitchener-Cambridge-Waterloo, Ontario [35541]",8,97,20,118,36,63,587,2464
2018,"Lethbridge, Alberta [48810]",0,50,2,76,1,12,43,1314
2018,"London, Ontario [35555]",17,161,4,33,1,26,252,3073
2018,Manitoba [46],57,472,60,58,0,204,220,24148
2018,"Moncton, New Brunswick [13305]",1,46,3,6,0,13,88,485
2018,"Montréal, Quebec [24462]",147,769,40,472,0,328,2401,19092
2018,New Brunswick [13],13,198,4,55,10,71,556,3958
2018,Newfoundland and Labrador [10],1,118,3,9,0,50,385,3847
2018,Northwest Territories [61],5,85,0,2,0,12,64,10495
2018,Nova Scotia [12],11,236,8,27,0,105,421,7390
2018,Nunavut [62],2,114,1,0,0,18,42,8710
2018,Ontario [35],295,3616,291,1085,0,1014,8002,63312
2018,"Ottawa-Gatineau, Ontario part [35505]",11,236,18,73,0,41,260,4479
2018,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",18,297,19,84,0,119,422,6762
2018,"Ottawa-Gatineau, Quebec part [24505]",7,61,1,11,0,78,162,2283
2018,"Peterborough, Ontario [35529]",1,30,1,6,0,18,114,651
2018,Prince Edward Island [11],0,42,0,13,0,10,73,718
2018,Quebec [24],196,1946,81,1208,28,1023,5874,49320
2018,"Québec, Quebec [24421]",12,119,2,151,0,50,598,3777
2018,"Regina, Saskatchewan [47705]",6,80,11,52,27,8,23,932
2018,"Saguenay, Quebec [24408]",2,38,1,27,0,13,135,777
2018,"Saint John, New Brunswick [13310]",11,30,0,22,0,25,150,1274
2018,Saskatchewan [47],24,429,51,109,1,152,555,20931
2018,"Saskatoon, Saskatchewan [47725]",4,71,9,18,0,15,123,1071
2018,"Sherbrooke, Quebec [24433]",1,45,3,16,0,11,166,399
2018,"St. John's, Newfoundland and Labrador [10001]",0,20,0,2,2,11,279,337
2018,"St.Catharines-Niagara, Ontario [35539]",2,43,3,31,0,32,138,1501
2018,"Thunder Bay, Ontario [35595]",5,45,3,4,0,20,155,1021
2018,"Toronto, Ontario [35535]",171,1344,155,402,0,244,2720,19224
2018,"Trois-Rivières, Quebec [24442]",0,49,0,75,101,15,109,796
2018,"Vancouver, British Columbia [59933]",51,493,119,120,0,98,675,16498
2018,"Victoria, British Columbia [59935]",5,117,6,21,217,9,185,2260
2018,"Windsor, Ontario [35559]",6,94,2,91,2,23,137,1277
2018,"Winnipeg, Manitoba [46602]",22,160,17,36,0,37,84,2340
2018,Yukon [60],0,32,1,4,0,17,47,3811
2019,"Abbotsford-Mission, British Columbia [59932]",2,47,3,18,0,11,43,1387
2019,Alberta [48],47,1132,78,412,0,295,2209,38537
2019,"Barrie, Ontario [35568]",5,67,6,14,0,25,260,888
2019,"Belleville, Ontario [35522]",2,59,7,6,0,15,232,963
2019,"Brantford, Ontario [35543]",7,72,0,8,0,10,134,1019
2019,British Columbia [59],96,1355,169,321,0,318,2300,61690
2019,"Calgary, Alberta [48825]",16,256,27,168,0,47,475,4298
2019,Canada,721,10722,733,3141,0,3121,23325,271646
2019,"Edmonton, Alberta [48835]",11,346,24,140,0,101,543,6324
2019,"Greater Sudbury, Ontario [35580]",1,78,2,6,1,22,186,967
2019,"Guelph, Ontario [35550]",3,37,7,15,0,16,130,536
2019,"Halifax, Nova Scotia [12205]",4,70,4,8,0,9,237,1700
2019,"Hamilton, Ontario [35537]",19,193,21,84,0,56,351,2735
2019,"Kelowna, British Columbia [59915]",13,41,8,20,0,17,80,4687
2019,"Kingston, Ontario [35521]",3,44,1,35,0,8,179,1143
2019,"Kitchener-Cambridge-Waterloo, Ontario [35541]",6,210,24,90,42,58,609,2054
2019,"Lethbridge, Alberta [48810]",2,44,4,47,1,13,56,1239
2019,"London, Ontario [35555]",18,129,12,46,1,9,259,2547
2019,Manitoba [46],59,493,61,55,0,248,257,22539
2019,"Moncton, New Brunswick [13305]",2,63,0,11,0,16,122,621
2019,"Montréal, Quebec [24462]",178,984,32,469,0,325,2623,15205
2019,New Brunswick [13],7,227,0,35,72,69,838,3667
2019,Newfoundland and Labrador [10],0,113,1,6,0,38,433,3142
2019,Northwest Territories [61],2,91,3,0,0,13,105,9760
2019,Nova Scotia [12],6,240,21,23,0,93,653,6878
2019,Nunavut [62],2,94,5,1,0,14,52,8702
2019,Ontario [35],277,3811,308,1014,0,921,9145,61288
2019,"Ottawa-Gatineau, Ontario part [35505]",13,192,11,72,0,56,268,5389
2019,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",18,280,11,90,1,101,464,6828
2019,"Ottawa-Gatineau, Quebec part [24505]",5,88,0,18,0,45,196,1439
2019,"Peterborough, Ontario [35529]",0,43,5,8,0,10,99,552
2019,Prince Edward Island [11],0,37,2,11,0,4,164,561
2019,Quebec [24],207,2623,51,1147,37,975,6487,34124
2019,"Québec, Quebec [24421]",10,134,0,94,0,46,738,3215
2019,"Regina, Saskatchewan [47705]",0,88,7,63,99,9,31,935
2019,"Saguenay, Quebec [24408]",0,63,0,61,0,20,140,527
2019,"Saint John, New Brunswick [13310]",3,20,0,8,0,17,165,1016
2019,Saskatchewan [47],17,456,33,114,0,121,616,17375
2019,"Saskatoon, Saskatchewan [47725]",4,77,13,29,0,9,136,931
2019,"Sherbrooke, Quebec [24433]",0,89,0,42,,11,149,260
2019,"St. John's, Newfoundland and Labrador [10001]",0,24,0,4,,8,273,305
2019,"St.Catharines-Niagara, Ontario [35539]",4,62,3,35,,39,158,1369
2019,"Thunder Bay, Ontario [35595]",11,53,0,3,,10,136,922
2019,"Toronto, Ontario [35535]",161,1332,146,376,,240,2979,19517
2019,"Trois-Rivières, Quebec [24442]",1,58,3,62,,6,139,515
2019,"Vancouver, British Columbia [59933]",59,499,111,126,,116,741,20192
2019,"Victoria, British Columbia [59935]",3,107,8,31,,13,198,2904
2019,"Windsor, Ontario [35559]",4,96,3,55,,15,125,1155
2019,"Winnipeg, Manitoba [46602]",36,163,16,39,,78,75,2575
2019,Yukon [60],1,50,1,2,,12,66,3383
