Year,GEO,RATE_Robbery [1610]#Cleared otherwise#Number#units #35100177_StatsCanada,"RATE_Sexual assault, level 1 [1330]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Possession of weapons [3375]#Total, youth not charged#Number#units #35100177_StatsCanada","RATE_Theft $5,000 or under from a motor vehicle [2142]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Other Controlled Drugs and Substances Act, importation and exportation [4330]#Cleared otherwise#Number#units #35100177_StatsCanada","RATE_Uttering threats [1627]#Total, youth not charged#Number#units #35100177_StatsCanada",RATE_Criminal harassment [1625]#Actual incidents#Number#units #35100177_StatsCanada,"RATE_Total, all Criminal Code violations (including traffic) [25]#Cleared otherwise#Number#units #35100177_StatsCanada"
2001,Ontario [35],560,3736,248,1715,,865,5918,100870
2001,"Ottawa-Gatineau, Ontario part [35505]",74,82,10,31,0,80,304,4809
2001,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",81,160,10,123,3,142,509,7029
2001,"Ottawa-Gatineau, Quebec part [24505]",7,78,0,92,0,62,205,2220
2001,Prince Edward Island [11],2,43,2,40,0,32,133,826
2001,Quebec [24],459,1421,29,1556,,735,3676,49029
2001,"Québec, Quebec [24421]",24,138,3,124,20,35,311,4079
2001,"Regina, Saskatchewan [47705]",3,100,9,162,3,29,43,1211
2001,"Saguenay, Quebec [24408]",2,28,1,34,40,19,149,1313
2001,"Saint John, New Brunswick [13310]",1,53,0,8,0,14,114,1042
2001,Saskatchewan [47],42,657,21,529,39,457,1262,20329
2001,"Saskatoon, Saskatchewan [47725]",30,71,7,84,0,42,232,2635
2001,"Sherbrooke, Quebec [24433]",4,27,0,31,60,15,49,669
2001,"St. John's, Newfoundland and Labrador [10001]",1,39,0,46,0,0,71,623
2001,"St.Catharines-Niagara, Ontario [35539]",31,107,28,84,0,37,137,4903
2001,"Thunder Bay, Ontario [35595]",2,61,3,22,1,25,120,1288
2001,"Toronto, Ontario [35535]",307,1335,85,848,2,183,2247,29574
2001,"Trois-Rivières, Quebec [24442]",0,23,0,29,117,20,47,1052
2001,"Vancouver, British Columbia [59933]",58,462,118,506,0,291,1319,15876
2001,"Victoria, British Columbia [59935]",14,103,29,93,397,71,248,4580
2001,"Windsor, Ontario [35559]",8,74,0,49,1,34,156,2324
2001,"Winnipeg, Manitoba [46602]",42,277,7,84,0,55,201,3385
2001,Yukon [60],2,33,1,11,0,26,82,2252
2002,"Abbotsford-Mission, British Columbia [59932]",7,56,5,29,0,9,151,574
2002,Alberta [48],57,1035,88,890,0,873,1884,41173
2002,British Columbia [59],176,1631,244,932,0,1144,3819,55348
2002,"Calgary, Alberta [48825]",38,192,33,239,5,101,210,6681
2002,Canada,1296,10496,686,5934,7,4739,21053,307411
2002,"Edmonton, Alberta [48835]",9,269,13,283,16,129,291,6148
2002,"Greater Sudbury, Ontario [35580]",2,88,0,22,1,15,70,573
2002,"Halifax, Nova Scotia [12205]",38,145,5,24,,94,209,3063
2002,"Hamilton, Ontario [35537]",48,153,30,78,0,120,325,8289
2002,"Kingston, Ontario [35521]",1,30,0,4,0,11,204,1307
2002,"Kitchener-Cambridge-Waterloo, Ontario [35541]",2,148,23,18,,35,110,1168
2002,"London, Ontario [35555]",13,143,4,47,249,13,144,3970
2002,Manitoba [46],51,631,32,101,4,271,873,10846
2002,"Montréal, Quebec [24462]",375,502,18,737,4,294,1944,19017
2002,New Brunswick [13],8,241,2,80,0,121,842,5914
2002,Newfoundland and Labrador [10],0,254,1,82,0,76,364,3978
2002,Northwest Territories [61],0,80,2,7,21,44,137,5630
2002,Nova Scotia [12],39,366,14,146,0,305,962,10431
2002,Nunavut [62],1,172,2,1,0,30,90,3213
2002,Ontario [35],492,3879,234,1543,0,710,6284,103441
2002,"Ottawa-Gatineau, Ontario part [35505]",93,77,23,80,0,58,358,5810
2002,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",100,138,23,179,0,110,616,7968
2002,"Ottawa-Gatineau, Quebec part [24505]",7,61,0,99,0,52,258,2158
2002,Prince Edward Island [11],0,57,1,30,,34,170,958
2002,Quebec [24],430,1518,37,1668,,666,4032,43141
2002,"Québec, Quebec [24421]",16,128,1,80,64,49,345,2693
2002,"Regina, Saskatchewan [47705]",3,99,2,127,1,17,47,1162
2002,"Saguenay, Quebec [24408]",2,27,0,21,76,5,115,1022
2002,"Saint John, New Brunswick [13310]",5,43,0,14,,12,149,1133
2002,Saskatchewan [47],37,590,27,448,111,435,1499,20711
2002,"Saskatoon, Saskatchewan [47725]",25,75,8,77,1,40,295,2538
2002,"Sherbrooke, Quebec [24433]",1,25,1,51,52,9,81,755
2002,"St. John's, Newfoundland and Labrador [10001]",0,35,0,39,2,1,57,626
2002,"St.Catharines-Niagara, Ontario [35539]",24,150,18,85,,22,124,4590
2002,"Thunder Bay, Ontario [35595]",5,61,4,18,,31,118,1279
2002,"Toronto, Ontario [35535]",210,1371,99,767,7,160,2397,27117
