Year,GEO,RATE_Not in labour force#Persons#thousands#14100090_StatsCanada
2005,"Kitchener-Waterloo-Barrie, Ontario",261.1
2005,"Kootenay, British Columbia",47.9
2005,"Lanaudière, Quebec",109.0
2005,"Laurentides, Quebec",133.5
2005,"Laval, Quebec",101.8
2005,"Lethbridge-Medicine Hat, Alberta",52.6
2005,"London, Ontario",153.2
2005,"Lower Mainland-Southwest, British Columbia",679.4
2005,Manitoba,280.1
2005,"Mauricie, Quebec",85.5
2005,"Moncton-Richibucto, New Brunswick",53.6
2005,"Montréal, Quebec",532.0
2005,"Montérégie, Quebec",364.1
2005,"Muskoka-Kawarthas, Ontario",122.1
2005,New Brunswick,222.8
2005,Newfoundland and Labrador,176.5
2005,"North Coast and Nechako, British Columbia",18.7
2005,"North Shore, Nova Scotia",50.6
2005,"Northeast, British Columbia",13.9
2005,"Northeast, Ontario",179.1
2005,Northwest Territories,7.3
2005,"Northwest, Ontario",62.2
2005,Nova Scotia,278.3
2005,Nunavut,5.4
2005,Ontario,3222.3
2005,"Ottawa, Ontario",300.2
2005,"Outaouais, Quebec",88.4
2005,"Parklands and Northern, Manitoba",18.2
2005,"Prince Albert and Northern, Saskatchewan",53.0
2005,Prince Edward Island,35.4
2005,Quebec,2120.2
2005,"Red Deer, Alberta",35.2
2005,"Regina-Moose Mountain, Saskatchewan",65.3
2005,"Saguenay-Lac-Saint-Jean, Quebec",90.6
2005,"Saint John-St. Stephen, New Brunswick",51.7
2005,Saskatchewan,240.3
2005,"Saskatoon-Biggar, Saskatchewan",70.7
2005,"South Central and North Central, Manitoba",24.5
2005,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",60.2
2005,"Southeast, Manitoba",19.2
2005,"Southern, Nova Scotia",42.0
2005,"Southwest, Manitoba",30.8
2005,"Stratford-Bruce Peninsula, Ontario",82.0
2005,"Swift Current-Moose Jaw, Saskatchewan",27.8
2005,"Thompson-Okanagan, British Columbia",145.1
2005,"Toronto, Ontario",1371.2
2005,"Vancouver Island and Coast, British Columbia",228.8
2005,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",36.6
2005,"Windsor-Sarnia, Ontario",179.4
2005,"Winnipeg, Manitoba",165.8
2005,"Wood Buffalo-Cold Lake, Alberta",20.8
2005,"Yorkton-Melville, Saskatchewan",23.5
2005,Yukon,5.6
2006,"Abitibi-Témiscamingue, Quebec",41.5
2006,Alberta,717.8
2006,"Annapolis Valley, Nova Scotia",40.2
2006,"Avalon Peninsula, Newfoundland and Labrador",78.0
2006,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",59.4
2006,"Bas-Saint-Laurent, Quebec",66.4
2006,British Columbia,1193.6
2006,"Calgary, Alberta",231.1
2006,"Campbellton-Miramichi, New Brunswick",58.4
2006,"Camrose-Drumheller, Alberta",40.2
2006,Canada,8613.3
2006,"Cape Breton, Nova Scotia",54.1
2006,"Capitale-Nationale, Quebec",193.4
2006,"Cariboo, British Columbia",37.9
2006,"Centre-du-Québec, Quebec",57.7
2006,"Chaudière-Appalaches, Quebec",106.0
2006,"Côte-Nord and Nord-du-Québec, Quebec",34.1
2006,"Edmonton, Alberta",272.0
2006,"Edmundston-Woodstock, New Brunswick",23.4
2006,"Estrie, Quebec",87.6
2006,"Fredericton-Oromocto, New Brunswick",33.6
2006,"Gaspésie-Îles-de-la-Madeleine, Quebec",39.0
2006,"Halifax, Nova Scotia",96.9
2006,"Hamilton-Niagara Peninsula, Ontario",381.6
2006,"Interlake, Manitoba",22.4
2006,"Kingston-Pembroke, Ontario",144.8
2006,"Kitchener-Waterloo-Barrie, Ontario",264.8
2006,"Kootenay, British Columbia",47.8
2006,"Lanaudière, Quebec",119.5
2006,"Laurentides, Quebec",146.5
2006,"Laval, Quebec",103.7
2006,"Lethbridge-Medicine Hat, Alberta",59.4
2006,"London, Ontario",157.6
2006,"Lower Mainland-Southwest, British Columbia",702.6
2006,Manitoba,282.3
2006,"Mauricie, Quebec",92.4
2006,"Moncton-Richibucto, New Brunswick",55.9
2006,"Montréal, Quebec",529.9
2006,"Montérégie, Quebec",361.1
2006,"Muskoka-Kawarthas, Ontario",115.7
2006,New Brunswick,222.7
2006,Newfoundland and Labrador,174.1
2006,"North Coast and Nechako, British Columbia",21.1
2006,"North Shore, Nova Scotia",51.1
2006,"Northeast, British Columbia",15.6
2006,"Northeast, Ontario",181.9
2006,Northwest Territories,6.9
2006,"Northwest, Ontario",64.3
2006,Nova Scotia,285.0
2006,Nunavut,5.0
2006,Ontario,3312.9
2006,"Ottawa, Ontario",301.8
2006,"Outaouais, Quebec",89.0
2006,"Parklands and Northern, Manitoba",18.7
2006,"Prince Albert and Northern, Saskatchewan",50.6
2006,Prince Edward Island,35.5
2006,Quebec,2155.3
2006,"Red Deer, Alberta",35.7
2006,"Regina-Moose Mountain, Saskatchewan",66.1
2006,"Saguenay-Lac-Saint-Jean, Quebec",87.4
2006,"Saint John-St. Stephen, New Brunswick",51.4
2006,Saskatchewan,234.2
2006,"Saskatoon-Biggar, Saskatchewan",70.2
2006,"South Central and North Central, Manitoba",26.9
2006,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",60.3
2006,"Southeast, Manitoba",21.5
2006,"Southern, Nova Scotia",42.7
2006,"Southwest, Manitoba",29.0
2006,"Stratford-Bruce Peninsula, Ontario",81.0
2006,"Swift Current-Moose Jaw, Saskatchewan",25.0
2006,"Thompson-Okanagan, British Columbia",143.9
2006,"Toronto, Ontario",1447.1
2006,"Vancouver Island and Coast, British Columbia",224.7
2006,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",35.7
2006,"Windsor-Sarnia, Ontario",172.2
2006,"Winnipeg, Manitoba",163.8
2006,"Wood Buffalo-Cold Lake, Alberta",20.1
2006,"Yorkton-Melville, Saskatchewan",22.3
2006,Yukon,5.8
2007,"Abitibi-Témiscamingue, Quebec",42.0
2007,Alberta,713.9
2007,"Annapolis Valley, Nova Scotia",36.8
2007,"Avalon Peninsula, Newfoundland and Labrador",79.5
2007,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",58.0
2007,"Bas-Saint-Laurent, Quebec",68.6
2007,British Columbia,1188.4
2007,"Calgary, Alberta",235.6
2007,"Campbellton-Miramichi, New Brunswick",57.0
2007,"Camrose-Drumheller, Alberta",40.2
2007,Canada,8615.2
2007,"Cape Breton, Nova Scotia",53.7
2007,"Capitale-Nationale, Quebec",191.8
2007,"Cariboo, British Columbia",37.7
2007,"Centre-du-Québec, Quebec",60.5
2007,"Chaudière-Appalaches, Quebec",108.7
2007,"Côte-Nord and Nord-du-Québec, Quebec",36.4
2007,"Edmonton, Alberta",259.6
2007,"Edmundston-Woodstock, New Brunswick",25.3
2007,"Estrie, Quebec",88.6
2007,"Fredericton-Oromocto, New Brunswick",31.8
2007,"Gaspésie-Îles-de-la-Madeleine, Quebec",37.8
2007,"Halifax, Nova Scotia",94.6
2007,"Hamilton-Niagara Peninsula, Ontario",380.3
2007,"Interlake, Manitoba",22.9
2007,"Kingston-Pembroke, Ontario",136.0
2007,"Kitchener-Waterloo-Barrie, Ontario",276.7
2007,"Kootenay, British Columbia",41.0
2007,"Lanaudière, Quebec",120.1
2007,"Laurentides, Quebec",135.3
2007,"Laval, Quebec",95.4
2007,"Lethbridge-Medicine Hat, Alberta",67.6
2007,"London, Ontario",159.0
2007,"Lower Mainland-Southwest, British Columbia",697.2
2007,Manitoba,278.9
2007,"Mauricie, Quebec",88.6
2007,"Moncton-Richibucto, New Brunswick",57.3
2007,"Montréal, Quebec",542.4
2007,"Montérégie, Quebec",371.1
2007,"Muskoka-Kawarthas, Ontario",118.3
2007,New Brunswick,221.2
2007,Newfoundland and Labrador,174.4
2007,"North Coast and Nechako, British Columbia",21.3
2007,"North Shore, Nova Scotia",52.7
2007,"Northeast, British Columbia",13.9
2007,"Northeast, Ontario",180.4
2007,Northwest Territories,6.9
2007,"Northwest, Ontario",62.2
2007,Nova Scotia,278.9
2007,Nunavut,4.4
2007,Ontario,3329.4
2007,"Ottawa, Ontario",296.1
2007,"Outaouais, Quebec",89.7
2007,"Parklands and Northern, Manitoba",18.8
2007,"Prince Albert and Northern, Saskatchewan",52.7
2007,Prince Edward Island,36.2
2007,Quebec,2162.7
2007,"Red Deer, Alberta",34.3
2007,"Regina-Moose Mountain, Saskatchewan",66.6
2007,"Saguenay-Lac-Saint-Jean, Quebec",85.8
2007,"Saint John-St. Stephen, New Brunswick",49.9
2007,Saskatchewan,231.2
2007,"Saskatoon-Biggar, Saskatchewan",65.5
2007,"South Central and North Central, Manitoba",25.5
2007,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",59.5
2007,"Southeast, Manitoba",23.8
2007,"Southern, Nova Scotia",41.1
2007,"Southwest, Manitoba",28.8
2007,"Stratford-Bruce Peninsula, Ontario",85.1
2007,"Swift Current-Moose Jaw, Saskatchewan",25.5
2007,"Thompson-Okanagan, British Columbia",150.3
2007,"Toronto, Ontario",1451.1
2007,"Vancouver Island and Coast, British Columbia",227.0
2007,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",35.4
2007,"Windsor-Sarnia, Ontario",184.2
2007,"Winnipeg, Manitoba",159.1
2007,"Wood Buffalo-Cold Lake, Alberta",18.7
2007,"Yorkton-Melville, Saskatchewan",20.9
2007,Yukon,6.2
2008,"Abitibi-Témiscamingue, Quebec",42.1
2008,Alberta,720.4
2008,"Annapolis Valley, Nova Scotia",38.7
2008,"Avalon Peninsula, Newfoundland and Labrador",76.7
2008,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",61.3
2008,"Bas-Saint-Laurent, Quebec",65.0
2008,British Columbia,1198.7
2008,"Calgary, Alberta",240.4
2008,"Campbellton-Miramichi, New Brunswick",55.9
2008,"Camrose-Drumheller, Alberta",39.7
2008,Canada,8702.0
2008,"Cape Breton, Nova Scotia",50.3
2008,"Capitale-Nationale, Quebec",194.4
2008,"Cariboo, British Columbia",38.2
2008,"Centre-du-Québec, Quebec",63.2
2008,"Chaudière-Appalaches, Quebec",113.0
2008,"Côte-Nord and Nord-du-Québec, Quebec",35.6
2008,"Edmonton, Alberta",256.8
2008,"Edmundston-Woodstock, New Brunswick",24.9
2008,"Estrie, Quebec",93.5
2008,"Fredericton-Oromocto, New Brunswick",33.3
2008,"Gaspésie-Îles-de-la-Madeleine, Quebec",36.2
2008,"Halifax, Nova Scotia",97.6
2008,"Hamilton-Niagara Peninsula, Ontario",379.1
2008,"Interlake, Manitoba",23.1
2008,"Kingston-Pembroke, Ontario",131.2
2008,"Kitchener-Waterloo-Barrie, Ontario",288.2
2008,"Kootenay, British Columbia",48.5
2008,"Lanaudière, Quebec",128.3
2008,"Laurentides, Quebec",147.7
2008,"Laval, Quebec",97.1
2008,"Lethbridge-Medicine Hat, Alberta",67.0
2008,"London, Ontario",166.2
2008,"Lower Mainland-Southwest, British Columbia",711.6
2008,Manitoba,279.2
2008,"Mauricie, Quebec",91.1
2008,"Moncton-Richibucto, New Brunswick",53.5
2008,"Montréal, Quebec",538.1
2008,"Montérégie, Quebec",376.2
2008,"Muskoka-Kawarthas, Ontario",119.1
2008,New Brunswick,216.1
2008,Newfoundland and Labrador,172.8
2008,"North Coast and Nechako, British Columbia",18.5
2008,"North Shore, Nova Scotia",51.7
2008,"Northeast, British Columbia",12.2
2008,"Northeast, Ontario",181.1
2008,Northwest Territories,7.9
2008,"Northwest, Ontario",64.3
2008,Nova Scotia,278.5
2008,Nunavut,7.6
2008,Ontario,3371.4
2008,"Ottawa, Ontario",292.0
2008,"Outaouais, Quebec",84.0
2008,"Parklands and Northern, Manitoba",19.4
2008,"Prince Albert and Northern, Saskatchewan",49.0
2008,Prince Edward Island,36.0
2008,Quebec,2196.5
2008,"Red Deer, Alberta",36.4
2008,"Regina-Moose Mountain, Saskatchewan",65.6
2008,"Saguenay-Lac-Saint-Jean, Quebec",91.0
2008,"Saint John-St. Stephen, New Brunswick",48.6
2008,Saskatchewan,232.2
