Year,GEO,RATE_Housing starts#Apartment and other unit types#Units#units #34100134_StatsCanada
2005,"Barrie, Ontario",0
2005,"Brantford, Ontario",60
2005,"Calgary, Alberta",2805
2005,Census metropolitan areas,58573
2005,"Edmonton, Alberta",3762
2005,"Greater Sudbury, Ontario",0
2005,"Guelph, Ontario",33
2005,"Halifax, Nova Scotia",920
2005,"Hamilton, Ontario",437
2005,"Kelowna, British Columbia",1232
2005,"Kingston, Ontario",20
2005,"Kitchener-Cambridge-Waterloo, Ontario",647
2005,"London, Ontario",650
2005,"Moncton, New Brunswick",218
2005,"Montréal, Quebec",15010
2005,"Oshawa, Ontario",318
2005,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",754
2005,"Ottawa-Gatineau, Ontario/Quebec",1449
2005,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",695
2005,"Peterborough, Ontario",5
2005,"Québec, Quebec",2773
2005,"Regina, Saskatchewan",109
2005,"Saguenay, Quebec",169
2005,"Saint John, New Brunswick",34
2005,"Saskatoon, Saskatchewan",201
2005,"Sherbrooke, Quebec",444
2005,"St. Catharines-Niagara, Ontario",5
2005,"St. John's, Newfoundland and Labrador",267
2005,"Thunder Bay, Ontario",44
2005,"Toronto, Ontario",15908
2005,"Trois-Rivières, Quebec",445
2005,"Vancouver, British Columbia",9984
2005,"Victoria, British Columbia",879
2005,"Windsor, Ontario",108
2005,"Winnipeg, Manitoba",692
2006,"Abbotsford-Mission, British Columbia",681
2006,"Barrie, Ontario",62
2006,"Brantford, Ontario",3
2006,"Calgary, Alberta",4411
2006,Census metropolitan areas,60133
2006,"Edmonton, Alberta",3710
2006,"Greater Sudbury, Ontario",0
2006,"Guelph, Ontario",94
2006,"Halifax, Nova Scotia",1147
2006,"Hamilton, Ontario",216
2006,"Kelowna, British Columbia",1132
2006,"Kingston, Ontario",371
2006,"Kitchener-Cambridge-Waterloo, Ontario",302
2006,"London, Ontario",1128
2006,"Moncton, New Brunswick",350
2006,"Montréal, Quebec",13597
2006,"Oshawa, Ontario",486
2006,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1219
2006,"Ottawa-Gatineau, Ontario/Quebec",2341
2006,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1122
2006,"Peterborough, Ontario",61
2006,"Québec, Quebec",2495
2006,"Regina, Saskatchewan",2
2006,"Saguenay, Quebec",183
2006,"Saint John, New Brunswick",107
2006,"Saskatoon, Saskatchewan",332
2006,"Sherbrooke, Quebec",769
2006,"St. Catharines-Niagara, Ontario",135
2006,"St. John's, Newfoundland and Labrador",162
2006,"Thunder Bay, Ontario",0
2006,"Toronto, Ontario",14891
2006,"Trois-Rivières, Quebec",529
2006,"Vancouver, British Columbia",9563
2006,"Victoria, British Columbia",1467
2006,"Windsor, Ontario",213
2006,"Winnipeg, Manitoba",895
2007,"Abbotsford-Mission, British Columbia",450
2007,"Barrie, Ontario",93
2007,"Brantford, Ontario",0
2007,"Calgary, Alberta",3366
2007,Census metropolitan areas,60336
2007,"Edmonton, Alberta",4211
2007,"Greater Sudbury, Ontario",8
2007,"Guelph, Ontario",34
2007,"Halifax, Nova Scotia",969
2007,"Hamilton, Ontario",227
2007,"Kelowna, British Columbia",1342
2007,"Kingston, Ontario",179
2007,"Kitchener-Cambridge-Waterloo, Ontario",753
2007,"London, Ontario",838
2007,"Moncton, New Brunswick",298
2007,"Montréal, Quebec",13264
2007,"Oshawa, Ontario",277
2007,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1279
2007,"Ottawa-Gatineau, Ontario/Quebec",2281
2007,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1002
2007,"Peterborough, Ontario",105
2007,"Québec, Quebec",2646
2007,"Regina, Saskatchewan",286
2007,"Saguenay, Quebec",297
2007,"Saint John, New Brunswick",152
2007,"Saskatoon, Saskatchewan",407
2007,"Sherbrooke, Quebec",550
2007,"St. Catharines-Niagara, Ontario",84
2007,"St. John's, Newfoundland and Labrador",192
2007,"Thunder Bay, Ontario",32
2007,"Toronto, Ontario",10380
2007,"Trois-Rivières, Quebec",532
2007,"Vancouver, British Columbia",13212
2007,"Victoria, British Columbia",1413
2007,"Windsor, Ontario",66
2007,"Winnipeg, Manitoba",1392
2008,"Abbotsford-Mission, British Columbia",778
2008,"Barrie, Ontario",376
2008,"Brantford, Ontario",29
2008,"Calgary, Alberta",5703
2008,Census metropolitan areas,74866
2008,"Edmonton, Alberta",2581
2008,"Greater Sudbury, Ontario",23
2008,"Guelph, Ontario",458
2008,"Halifax, Nova Scotia",639
2008,"Hamilton, Ontario",498
2008,"Kelowna, British Columbia",1187
2008,"Kingston, Ontario",37
2008,"Kitchener-Cambridge-Waterloo, Ontario",537
2008,"London, Ontario",787
2008,"Moncton, New Brunswick",302
2008,"Montréal, Quebec",13084
2008,"Oshawa, Ontario",51
2008,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1676
2008,"Ottawa-Gatineau, Ontario/Quebec",2926
2008,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1250
2008,"Peterborough, Ontario",46
2008,"Québec, Quebec",2747
2008,"Regina, Saskatchewan",293
2008,"Saguenay, Quebec",451
2008,"Saint John, New Brunswick",178
2008,"Saskatoon, Saskatchewan",699
2008,"Sherbrooke, Quebec",747
2008,"St. Catharines-Niagara, Ontario",114
2008,"St. John's, Newfoundland and Labrador",231
2008,"Thunder Bay, Ontario",0
2008,"Toronto, Ontario",23930
2008,"Trois-Rivières, Quebec",619
2008,"Vancouver, British Columbia",12939
2008,"Victoria, British Columbia",928
2008,"Windsor, Ontario",16
2008,"Winnipeg, Manitoba",932
2009,"Abbotsford-Mission, British Columbia",132
2009,"Barrie, Ontario",135
2009,"Brantford, Ontario",3
2009,"Calgary, Alberta",388
2009,Census metropolitan areas,40851
2009,"Edmonton, Alberta",746
2009,"Greater Sudbury, Ontario",144
2009,"Guelph, Ontario",70
2009,"Halifax, Nova Scotia",599
2009,"Hamilton, Ontario",354
2009,"Kelowna, British Columbia",136
2009,"Kingston, Ontario",224
2009,"Kitchener-Cambridge-Waterloo, Ontario",510
2009,"London, Ontario",931
2009,"Moncton, New Brunswick",143
2009,"Montréal, Quebec",11800
2009,"Oshawa, Ontario",42
2009,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1135
2009,"Ottawa-Gatineau, Ontario/Quebec",2226
2009,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1091
2009,"Peterborough, Ontario",30
2009,"Québec, Quebec",2973
2009,"Regina, Saskatchewan",258
2009,"Saguenay, Quebec",235
2009,"Saint John, New Brunswick",183
2009,"Saskatoon, Saskatchewan",114
2009,"Sherbrooke, Quebec",741
2009,"St. Catharines-Niagara, Ontario",79
2009,"St. John's, Newfoundland and Labrador",249
2009,"Thunder Bay, Ontario",4
2009,"Toronto, Ontario",12869
2009,"Trois-Rivières, Quebec",560
2009,"Vancouver, British Columbia",3425
2009,"Victoria, British Columbia",139
2009,"Windsor, Ontario",6
2009,"Winnipeg, Manitoba",403
2010,"Abbotsford-Mission, British Columbia",84
2010,"Barrie, Ontario",103
2010,"Brantford, Ontario",71
2010,"Calgary, Alberta",1349
2010,Census metropolitan areas,54690
2010,"Edmonton, Alberta",1748
2010,"Greater Sudbury, Ontario",177
2010,"Guelph, Ontario",190
2010,"Halifax, Nova Scotia",1043
2010,"Hamilton, Ontario",630
2010,"Kelowna, British Columbia",224
2010,"Kingston, Ontario",70
2010,"Kitchener-Cambridge-Waterloo, Ontario",968
2010,"London, Ontario",435
2010,"Moncton, New Brunswick",454
2010,"Montréal, Quebec",13760
2010,"Oshawa, Ontario",12
2010,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1854
2010,"Ottawa-Gatineau, Ontario/Quebec",2662
2010,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",808
2010,"Peterborough, Ontario",4
2010,"Québec, Quebec",3799
2010,"Regina, Saskatchewan",418
2010,"Saguenay, Quebec",353
2010,"Saint John, New Brunswick",246
2010,"Saskatoon, Saskatchewan",410
2010,"Sherbrooke, Quebec",771
2010,"St. Catharines-Niagara, Ontario",41
2010,"St. John's, Newfoundland and Labrador",268
2010,"Thunder Bay, Ontario",4
2010,"Toronto, Ontario",13240
2010,"Trois-Rivières, Quebec",1132
2010,"Vancouver, British Columbia",7946
2010,"Victoria, British Columbia",895
2010,"Windsor, Ontario",42
2010,"Winnipeg, Manitoba",1141
2011,"Abbotsford-Mission, British Columbia",155
2011,"Barrie, Ontario",267
2011,"Brantford, Ontario",61
2011,"Calgary, Alberta",2106
2011,Census metropolitan areas,70299
2011,"Edmonton, Alberta",2205
2011,"Greater Sudbury, Ontario",180
2011,"Guelph, Ontario",257
2011,"Halifax, Nova Scotia",1724
2011,"Hamilton, Ontario",389
2011,"Kelowna, British Columbia",216
2011,"Kingston, Ontario",394
2011,"Kitchener-Cambridge-Waterloo, Ontario",1444
2011,"London, Ontario",383
2011,"Moncton, New Brunswick",415
2011,"Montréal, Quebec",15833
2011,"Oshawa, Ontario",74
2011,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1473
2011,"Ottawa-Gatineau, Ontario/Quebec",2450
2011,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",977
2011,"Peterborough, Ontario",48
2011,"Québec, Quebec",3014
2011,"Regina, Saskatchewan",518
2011,"Saguenay, Quebec",292
2011,"Saint John, New Brunswick",80
2011,"Saskatoon, Saskatchewan",851
2011,"Sherbrooke, Quebec",649
2011,"St. Catharines-Niagara, Ontario",174
2011,"St. John's, Newfoundland and Labrador",542
2011,"Thunder Bay, Ontario",166
2011,"Toronto, Ontario",22257
2011,"Trois-Rivières, Quebec",595
2011,"Vancouver, British Columbia",10843
2011,"Victoria, British Columbia",751
2011,"Windsor, Ontario",8
2011,"Winnipeg, Manitoba",958
2012,"Abbotsford-Mission, British Columbia",83
2012,"Barrie, Ontario",123
2012,"Brantford, Ontario",3
2012,"Calgary, Alberta",3994
2012,Census metropolitan areas,87504
2012,"Edmonton, Alberta",3927
2012,"Greater Sudbury, Ontario",165
2012,"Guelph, Ontario",202
2012,"Halifax, Nova Scotia",1437
2012,"Hamilton, Ontario",446
2012,"Kelowna, British Columbia",98
2012,"Kingston, Ontario",344
2012,"Kitchener-Cambridge-Waterloo, Ontario",1556
2012,"London, Ontario",789
2012,"Moncton, New Brunswick",532
2012,"Montréal, Quebec",14548
2012,"Oshawa, Ontario",302
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2769
2012,"Ottawa-Gatineau, Ontario/Quebec",4192
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1423
2012,"Peterborough, Ontario",94
2012,"Québec, Quebec",4330
2012,"Regina, Saskatchewan",1213
2012,"Saguenay, Quebec",477
2012,"Saint John, New Brunswick",140
2012,"Saskatoon, Saskatchewan",1245
2012,"Sherbrooke, Quebec",669
2012,"St. Catharines-Niagara, Ontario",184
2012,"St. John's, Newfoundland and Labrador",780
2012,"Thunder Bay, Ontario",130
2012,"Toronto, Ontario",29617
2012,"Trois-Rivières, Quebec",523
2012,"Vancouver, British Columbia",12777
2012,"Victoria, British Columbia",948
2012,"Windsor, Ontario",6
2012,"Winnipeg, Manitoba",1630
2013,"Abbotsford-Mission, British Columbia",457
2013,"Barrie, Ontario",118
2013,"Brantford, Ontario",0
2013,"Calgary, Alberta",2975
2013,Census metropolitan areas,69874
2013,"Edmonton, Alberta",5164
2013,"Greater Sudbury, Ontario",188
2013,"Guelph, Ontario",431
2013,"Halifax, Nova Scotia",1474
2013,"Hamilton, Ontario",704
2013,"Kelowna, British Columbia",231
2013,"Kingston, Ontario",420
2013,"Kitchener-Cambridge-Waterloo, Ontario",807
2013,"London, Ontario",708
2013,"Moncton, New Brunswick",396
2013,"Montréal, Quebec",11304
2013,"Oshawa, Ontario",263
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2760
2013,"Ottawa-Gatineau, Ontario/Quebec",3798
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1038
2013,"Peterborough, Ontario",82
2013,"Québec, Quebec",3069
2013,"Regina, Saskatchewan",1357
2013,"Saguenay, Quebec",368
2013,"Saint John, New Brunswick",95
2013,"Saskatoon, Saskatchewan",706
2013,"Sherbrooke, Quebec",725
2013,"St. Catharines-Niagara, Ontario",85
2013,"St. John's, Newfoundland and Labrador",447
2013,"Thunder Bay, Ontario",118
2013,"Toronto, Ontario",18149
2013,"Trois-Rivières, Quebec",459
2013,"Vancouver, British Columbia",11809
2013,"Victoria, British Columbia",1035
2013,"Windsor, Ontario",8
2013,"Winnipeg, Manitoba",1924
2014,"Abbotsford-Mission, British Columbia",181
2014,"Barrie, Ontario",462
2014,"Brantford, Ontario",60
2014,"Calgary, Alberta",6734
2014,Census metropolitan areas,70336
2014,"Edmonton, Alberta",3160
2014,"Greater Sudbury, Ontario",23
2014,"Guelph, Ontario",645
2014,"Halifax, Nova Scotia",1064
2014,"Hamilton, Ontario",504
2014,"Kelowna, British Columbia",271
2014,"Kingston, Ontario",206
2014,"Kitchener-Cambridge-Waterloo, Ontario",3057
2014,"London, Ontario",473
2014,"Moncton, New Brunswick",349
2014,"Montréal, Quebec",14387
2014,"Oshawa, Ontario",110
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2007
2014,"Ottawa-Gatineau, Ontario/Quebec",2961
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",954
2014,"Peterborough, Ontario",0
2014,"Québec, Quebec",2843
2014,"Regina, Saskatchewan",1040
2014,"Saguenay, Quebec",272
2014,"Saint John, New Brunswick",79
2014,"Saskatoon, Saskatchewan",1301
2014,"Sherbrooke, Quebec",503
2014,"St. Catharines-Niagara, Ontario",31
2014,"St. John's, Newfoundland and Labrador",265
2014,"Thunder Bay, Ontario",48
2014,"Toronto, Ontario",14708
2014,"Trois-Rivières, Quebec",560
2014,"Vancouver, British Columbia",11611
2014,"Victoria, British Columbia",581
2014,"Windsor, Ontario",33
2014,"Winnipeg, Manitoba",1814
2015,"Abbotsford-Mission, British Columbia",255
2015,"Barrie, Ontario",180
2015,"Brantford, Ontario",305
2015,"Calgary, Alberta",5745
2015,Census metropolitan areas,86909
2015,"Edmonton, Alberta",6925
2015,"Greater Sudbury, Ontario",23
2015,"Guelph, Ontario",420
2015,"Halifax, Nova Scotia",2005
2015,"Hamilton, Ontario",369
2015,"Kelowna, British Columbia",269
2015,"Kingston, Ontario",313
2015,"Kitchener-Cambridge-Waterloo, Ontario",1550
2015,"London, Ontario",595
2015,"Moncton, New Brunswick",171
2015,"Montréal, Quebec",14831
2015,"Oshawa, Ontario",737
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1455
2015,"Ottawa-Gatineau, Ontario/Quebec",2181
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",726
2015,"Peterborough, Ontario",12
2015,"Québec, Quebec",4155
2015,"Regina, Saskatchewan",847
2015,"Saguenay, Quebec",196
2015,"Saint John, New Brunswick",76
2015,"Saskatoon, Saskatchewan",845
2015,"Sherbrooke, Quebec",789
2015,"St. Catharines-Niagara, Ontario",259
2015,"St. John's, Newfoundland and Labrador",231
2015,"Thunder Bay, Ontario",49
2015,"Toronto, Ontario",25825
2015,"Trois-Rivières, Quebec",236
2015,"Vancouver, British Columbia",13243
2015,"Victoria, British Columbia",1126
2015,"Windsor, Ontario",71
2015,"Winnipeg, Manitoba",2075
2016,"Abbotsford-Mission, British Columbia",394
2016,"Barrie, Ontario",804
2016,"Brantford, Ontario",15
2016,"Calgary, Alberta",3701
2016,Census metropolitan areas,81126
2016,"Edmonton, Alberta",2423
2016,"Greater Sudbury, Ontario",70
2016,"Guelph, Ontario",517
2016,"Halifax, Nova Scotia",1462
2016,"Hamilton, Ontario",1233
2016,"Kelowna, British Columbia",1008
2016,"Kingston, Ontario",15
2016,"Kitchener-Cambridge-Waterloo, Ontario",2174
2016,"London, Ontario",1238
2016,"Moncton, New Brunswick",216
2016,"Montréal, Quebec",13317
2016,"Oshawa, Ontario",771
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1275
2016,"Ottawa-Gatineau, Ontario/Quebec",2388
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1113
2016,"Peterborough, Ontario",129
2016,"Québec, Quebec",3227
2016,"Regina, Saskatchewan",501
2016,"Saguenay, Quebec",130
2016,"Saint John, New Brunswick",5
2016,"Saskatoon, Saskatchewan",524
2016,"Sherbrooke, Quebec",629
2016,"St. Catharines-Niagara, Ontario",80
2016,"St. John's, Newfoundland and Labrador",78
2016,"Thunder Bay, Ontario",24
2016,"Toronto, Ontario",21320
2016,"Trois-Rivières, Quebec",374
2016,"Vancouver, British Columbia",18917
2016,"Victoria, British Columbia",1732
2016,"Windsor, Ontario",75
2016,"Winnipeg, Manitoba",1635
2017,"Abbotsford-Mission, British Columbia",1078
2017,"Barrie, Ontario",225
2017,"Brantford, Ontario",57
2017,"Calgary, Alberta",4226
2017,Census metropolitan areas,93917
2017,"Edmonton, Alberta",3134
2017,"Greater Sudbury, Ontario",20
2017,"Guelph, Ontario",576
2017,"Halifax, Nova Scotia",1826
2017,"Hamilton, Ontario",1168
2017,"Kelowna, British Columbia",2227
2017,"Kingston, Ontario",239
2017,"Kitchener-Cambridge-Waterloo, Ontario",1970
2017,"London, Ontario",1342
2017,"Moncton, New Brunswick",446
2017,"Montréal, Quebec",19855
2017,"Oshawa, Ontario",743
2017,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2942
2017,"Ottawa-Gatineau, Ontario/Quebec",4116
2017,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1174
2017,"Peterborough, Ontario",8
2017,"Québec, Quebec",5163
2017,"Regina, Saskatchewan",804
2017,"Saguenay, Quebec",149
2017,"Saint John, New Brunswick",85
2017,"Saskatoon, Saskatchewan",508
2017,"Sherbrooke, Quebec",557
2017,"St. Catharines-Niagara, Ontario",212
2017,"St. John's, Newfoundland and Labrador",78
2017,"Thunder Bay, Ontario",154
2017,"Toronto, Ontario",20174
2017,"Trois-Rivières, Quebec",409
2017,"Vancouver, British Columbia",17498
2017,"Victoria, British Columbia",2492
2017,"Windsor, Ontario",61
2017,"Winnipeg, Manitoba",2317
2018,"Abbotsford-Mission, British Columbia",321
2018,"Barrie, Ontario",572
2018,"Brantford, Ontario",0
2018,"Calgary, Alberta",4403
2018,Census metropolitan areas,99574
2018,"Edmonton, Alberta",2090
2018,"Greater Sudbury, Ontario",5
2018,"Guelph, Ontario",638
2018,"Halifax, Nova Scotia",1922
2018,"Hamilton, Ontario",1803
2018,"Kelowna, British Columbia",1493
2018,"Kingston, Ontario",387
2018,"Kitchener-Cambridge-Waterloo, Ontario",1710
2018,"London, Ontario",618
2018,"Moncton, New Brunswick",259
2018,"Montréal, Quebec",20269
2018,"Oshawa, Ontario",769
2018,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2463
2018,"Ottawa-Gatineau, Ontario/Quebec",3701
2018,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1238
2018,"Peterborough, Ontario",16
2018,"Québec, Quebec",3951
2018,"Regina, Saskatchewan",500
2018,"Saguenay, Quebec",123
2018,"Saint John, New Brunswick",93
2018,"Saskatoon, Saskatchewan",684
2018,"Sherbrooke, Quebec",698
2018,"St. Catharines-Niagara, Ontario",445
2018,"St. John's, Newfoundland and Labrador",133
2018,"Thunder Bay, Ontario",8
2018,"Toronto, Ontario",29639
2018,"Trois-Rivières, Quebec",499
2018,"Vancouver, British Columbia",15888
2018,"Victoria, British Columbia",3069
2018,"Windsor, Ontario",112
2018,"Winnipeg, Manitoba",2756
2019,"Abbotsford-Mission, British Columbia",1013
2019,"Barrie, Ontario",426
2019,"Brantford, Ontario",4
2019,"Calgary, Alberta",5383
2019,Census metropolitan areas,104381
2019,"Edmonton, Alberta",3882
2019,"Greater Sudbury, Ontario",14
2019,"Guelph, Ontario",440
2019,"Halifax, Nova Scotia",2058
2019,"Hamilton, Ontario",1254
2019,"Kelowna, British Columbia",1234
2019,"Kingston, Ontario",720
2019,"Kitchener-Cambridge-Waterloo, Ontario",3439
2019,"London, Ontario",1230
2019,"Moncton, New Brunswick",780
2019,"Montréal, Quebec",20639
2019,"Oshawa, Ontario",139
2019,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2328
2019,"Ottawa-Gatineau, Ontario/Quebec",4878
2019,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2550
2019,"Peterborough, Ontario",143
2019,"Québec, Quebec",4840
2019,"Regina, Saskatchewan",135
2019,"Saguenay, Quebec",132
2019,"Saint John, New Brunswick",219
2019,"Saskatoon, Saskatchewan",505
2019,"Sherbrooke, Quebec",1139
2019,"St. Catharines-Niagara, Ontario",380
2019,"St. John's, Newfoundland and Labrador",68
2019,"Thunder Bay, Ontario",70
2019,"Toronto, Ontario",21843
2019,"Trois-Rivières, Quebec",361
2019,"Vancouver, British Columbia",21321
2019,"Victoria, British Columbia",2540
2019,"Windsor, Ontario",473
2019,"Winnipeg, Manitoba",2679
