Year,GEO,RATE_Housing starts#Apartment and other unit types#Units#units #34100134_StatsCanada
1978,"Guelph, Ontario",0
1978,"Halifax, Nova Scotia",910
1978,"Hamilton, Ontario",420
1978,"Kelowna, British Columbia",174
1978,"Kingston, Ontario",296
1978,"Kitchener-Cambridge-Waterloo, Ontario",201
1978,"London, Ontario",2352
1978,"Moncton, New Brunswick",56
1978,"Montréal excluding Saint-Jérôme, Quebec",8513
1978,"Oshawa, Ontario",223
1978,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1880
1978,"Ottawa-Gatineau, Ontario/Quebec",2116
1978,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",236
1978,"Peterborough, Ontario",0
1978,"Québec, Quebec",2350
1978,"Regina, Saskatchewan",716
1978,"Saguenay, Quebec",698
1978,"Saint John, New Brunswick",0
1978,"Saskatoon, Saskatchewan",1319
1978,"St. Catharines-Niagara, Ontario",1076
1978,"St. John's, Newfoundland and Labrador",193
1978,"Thunder Bay, Ontario",342
1978,"Toronto, Ontario",12493
1978,"Vancouver, British Columbia",3555
1978,"Victoria, British Columbia",516
1978,"Windsor, Ontario",1443
1978,"Winnipeg, Manitoba",4898
1979,"Brantford, Ontario",210
1979,"Calgary, Alberta",3557
1979,Census metropolitan areas,37238
1979,"Edmonton, Alberta",4504
1979,"Greater Sudbury, Ontario",152
1979,"Guelph, Ontario",156
1979,"Halifax, Nova Scotia",557
1979,"Hamilton, Ontario",0
1979,"Kelowna, British Columbia",494
1979,"Kingston, Ontario",386
1979,"Kitchener-Cambridge-Waterloo, Ontario",677
1979,"London, Ontario",1123
1979,"Moncton, New Brunswick",163
1979,"Montréal excluding Saint-Jérôme, Quebec",6279
1979,"Oshawa, Ontario",211
1979,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1120
1979,"Ottawa-Gatineau, Ontario/Quebec",1156
1979,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",36
1979,"Peterborough, Ontario",43
1979,"Québec, Quebec",1679
1979,"Regina, Saskatchewan",1104
1979,"Saguenay, Quebec",638
1979,"Saint John, New Brunswick",0
1979,"Saskatoon, Saskatchewan",2084
1979,"St. Catharines-Niagara, Ontario",325
1979,"St. John's, Newfoundland and Labrador",158
1979,"Thunder Bay, Ontario",123
1979,"Toronto, Ontario",6022
1979,"Vancouver, British Columbia",3523
1979,"Victoria, British Columbia",313
1979,"Windsor, Ontario",1061
1979,"Winnipeg, Manitoba",1992
1980,"Brantford, Ontario",90
1980,"Calgary, Alberta",2503
1980,Census metropolitan areas,31196
1980,"Edmonton, Alberta",3333
1980,"Greater Sudbury, Ontario",24
1980,"Guelph, Ontario",199
1980,"Halifax, Nova Scotia",452
1980,"Hamilton, Ontario",88
1980,"Kelowna, British Columbia",475
1980,"Kingston, Ontario",184
1980,"Kitchener-Cambridge-Waterloo, Ontario",209
1980,"London, Ontario",691
1980,"Moncton, New Brunswick",20
1980,"Montréal excluding Saint-Jérôme, Quebec",4478
1980,"Oshawa, Ontario",215
1980,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",466
1980,"Ottawa-Gatineau, Ontario/Quebec",520
1980,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",54
1980,"Peterborough, Ontario",42
1980,"Québec, Quebec",1515
1980,"Regina, Saskatchewan",579
1980,"Saguenay, Quebec",188
1980,"Saint John, New Brunswick",0
1980,"Saskatoon, Saskatchewan",775
1980,"St. Catharines-Niagara, Ontario",86
1980,"St. John's, Newfoundland and Labrador",443
1980,"Thunder Bay, Ontario",154
1980,"Toronto, Ontario",7184
1980,"Vancouver, British Columbia",5435
1980,"Victoria, British Columbia",829
1980,"Windsor, Ontario",1004
1980,"Winnipeg, Manitoba",491
1981,"Brantford, Ontario",172
1981,"Calgary, Alberta",5433
1981,Census metropolitan areas,42178
1981,"Edmonton, Alberta",4467
1981,"Greater Sudbury, Ontario",123
1981,"Guelph, Ontario",101
1981,"Halifax, Nova Scotia",289
1981,"Hamilton, Ontario",134
1981,"Kelowna, British Columbia",420
1981,"Kingston, Ontario",416
1981,"Kitchener-Cambridge-Waterloo, Ontario",1051
1981,"London, Ontario",830
1981,"Moncton, New Brunswick",0
1981,"Montréal excluding Saint-Jérôme, Quebec",6493
1981,"Oshawa, Ontario",172
1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",743
1981,"Ottawa-Gatineau, Ontario/Quebec",762
1981,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",19
1981,"Peterborough, Ontario",15
1981,"Québec, Quebec",2129
1981,"Regina, Saskatchewan",376
1981,"Saguenay, Quebec",252
1981,"Saint John, New Brunswick",46
1981,"Saskatoon, Saskatchewan",946
1981,"St. Catharines-Niagara, Ontario",194
1981,"St. John's, Newfoundland and Labrador",475
1981,"Thunder Bay, Ontario",253
1981,"Toronto, Ontario",7737
1981,"Vancouver, British Columbia",8000
1981,"Victoria, British Columbia",1304
1981,"Windsor, Ontario",472
1981,"Winnipeg, Manitoba",240
1982,"Barrie, Ontario",143
1982,"Brantford, Ontario",0
1982,"Calgary, Alberta",4034
1982,Census metropolitan areas,40467
1982,"Edmonton, Alberta",6032
1982,"Greater Sudbury, Ontario",155
1982,"Guelph, Ontario",11
1982,"Halifax, Nova Scotia",530
1982,"Hamilton, Ontario",260
1982,"Kelowna, British Columbia",83
1982,"Kingston, Ontario",253
1982,"Kitchener-Cambridge-Waterloo, Ontario",704
1982,"London, Ontario",382
1982,"Moncton, New Brunswick",86
1982,"Montréal excluding Saint-Jérôme, Quebec",5682
1982,"Oshawa, Ontario",89
1982,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1763
1982,"Ottawa-Gatineau, Ontario/Quebec",1808
1982,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",45
1982,"Peterborough, Ontario",60
1982,"Québec, Quebec",1401
1982,"Regina, Saskatchewan",1114
1982,"Saguenay, Quebec",173
1982,"Saint John, New Brunswick",0
1982,"Saskatoon, Saskatchewan",2618
1982,"St. Catharines-Niagara, Ontario",520
1982,"St. John's, Newfoundland and Labrador",142
1982,"Thunder Bay, Ontario",110
1982,"Toronto, Ontario",7973
1982,"Trois-Rivières, Quebec",344
1982,"Vancouver, British Columbia",5171
1982,"Victoria, British Columbia",570
1982,"Windsor, Ontario",0
1982,"Winnipeg, Manitoba",655
1983,"Barrie, Ontario",212
1983,"Brantford, Ontario",67
1983,"Calgary, Alberta",1412
1983,Census metropolitan areas,34625
1983,"Edmonton, Alberta",1767
1983,"Greater Sudbury, Ontario",0
1983,"Guelph, Ontario",334
1983,"Halifax, Nova Scotia",847
1983,"Hamilton, Ontario",545
1983,"Kelowna, British Columbia",0
1983,"Kingston, Ontario",153
1983,"Kitchener-Cambridge-Waterloo, Ontario",599
1983,"London, Ontario",362
1983,"Moncton, New Brunswick",20
1983,"Montréal excluding Saint-Jérôme, Quebec",7591
1983,"Oshawa, Ontario",11
1983,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2117
1983,"Ottawa-Gatineau, Ontario/Quebec",2269
1983,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",152
1983,"Peterborough, Ontario",171
1983,"Québec, Quebec",1620
1983,"Regina, Saskatchewan",466
1983,"Saguenay, Quebec",114
1983,"Saint John, New Brunswick",202
1983,"Saskatoon, Saskatchewan",1127
