Year,GEO,"RATE_British Columbia, province of destination#Persons#units#17100022_StatsCanada"
1992,"Alberta, province of origin",27518
1992,"Manitoba, province of origin",6230
1992,"New Brunswick, province of origin",1178
1992,"Newfoundland and Labrador, province of origin",1173
1992,"Northwest Territories, province of origin",666
1992,"Nova Scotia, province of origin",2797
1992,"Nunavut, province of origin",109
1992,"Ontario, province of origin",26614
1992,"Prince Edward Island, province of origin",179
1992,"Quebec, province of origin",5198
1992,"Saskatchewan, province of origin",5866
1992,"Yukon, province of origin",1235
1993,"Alberta, province of origin",26524
1993,"Manitoba, province of origin",5910
1993,"New Brunswick, province of origin",1115
1993,"Newfoundland and Labrador, province of origin",1611
1993,"Northwest Territories, province of origin",537
1993,"Nova Scotia, province of origin",3020
1993,"Nunavut, province of origin",80
1993,"Ontario, province of origin",25343
1993,"Prince Edward Island, province of origin",221
1993,"Quebec, province of origin",5297
1993,"Saskatchewan, province of origin",5455
1993,"Yukon, province of origin",1436
1994,"Alberta, province of origin",24461
1994,"Manitoba, province of origin",5191
1994,"New Brunswick, province of origin",1173
1994,"Newfoundland and Labrador, province of origin",1984
1994,"Northwest Territories, province of origin",543
1994,"Nova Scotia, province of origin",2965
1994,"Nunavut, province of origin",81
1994,"Ontario, province of origin",23530
1994,"Prince Edward Island, province of origin",207
1994,"Quebec, province of origin",5168
1994,"Saskatchewan, province of origin",4530
1994,"Yukon, province of origin",950
1995,"Alberta, province of origin",22750
1995,"Manitoba, province of origin",4543
1995,"New Brunswick, province of origin",1110
1995,"Newfoundland and Labrador, province of origin",1894
1995,"Northwest Territories, province of origin",545
1995,"Nova Scotia, province of origin",2392
1995,"Nunavut, province of origin",85
1995,"Ontario, province of origin",23260
1995,"Prince Edward Island, province of origin",205
1995,"Quebec, province of origin",5271
1995,"Saskatchewan, province of origin",4067
1995,"Yukon, province of origin",837
1996,"Alberta, province of origin",19341
1996,"Manitoba, province of origin",4563
1996,"New Brunswick, province of origin",1060
1996,"Newfoundland and Labrador, province of origin",1414
1996,"Northwest Territories, province of origin",486
1996,"Nova Scotia, province of origin",2226
1996,"Nunavut, province of origin",81
1996,"Ontario, province of origin",20601
1996,"Prince Edward Island, province of origin",175
1996,"Quebec, province of origin",4949
1996,"Saskatchewan, province of origin",3720
1996,"Yukon, province of origin",816
1997,"Alberta, province of origin",16663
1997,"Manitoba, province of origin",3847
1997,"New Brunswick, province of origin",908
1997,"Newfoundland and Labrador, province of origin",1037
1997,"Northwest Territories, province of origin",529
1997,"Nova Scotia, province of origin",1982
1997,"Nunavut, province of origin",61
1997,"Ontario, province of origin",17606
1997,"Prince Edward Island, province of origin",202
1997,"Quebec, province of origin",4225
1997,"Saskatchewan, province of origin",3491
1997,"Yukon, province of origin",973
1998,"Alberta, province of origin",16033
1998,"Manitoba, province of origin",2959
1998,"New Brunswick, province of origin",617
1998,"Newfoundland and Labrador, province of origin",674
1998,"Northwest Territories, province of origin",397
1998,"Nova Scotia, province of origin",1330
1998,"Nunavut, province of origin",67
1998,"Ontario, province of origin",14234
1998,"Prince Edward Island, province of origin",119
1998,"Quebec, province of origin",3159
1998,"Saskatchewan, province of origin",2976
1998,"Yukon, province of origin",735
1999,"Alberta, province of origin",16915
1999,"Manitoba, province of origin",3100
1999,"New Brunswick, province of origin",599
1999,"Newfoundland and Labrador, province of origin",508
1999,"Northwest Territories, province of origin",362
1999,"Nova Scotia, province of origin",1289
1999,"Nunavut, province of origin",58
1999,"Ontario, province of origin",13770
1999,"Prince Edward Island, province of origin",120
1999,"Quebec, province of origin",2856
1999,"Saskatchewan, province of origin",3192
1999,"Yukon, province of origin",696
2000,"Alberta, province of origin",16428
2000,"Manitoba, province of origin",3121
2000,"New Brunswick, province of origin",676
2000,"Newfoundland and Labrador, province of origin",540
2000,"Northwest Territories, province of origin",307
2000,"Nova Scotia, province of origin",1402
2000,"Nunavut, province of origin",69
2000,"Ontario, province of origin",14147
2000,"Prince Edward Island, province of origin",133
2000,"Quebec, province of origin",2732
2000,"Saskatchewan, province of origin",3080
2000,"Yukon, province of origin",703
2001,"Alberta, province of origin",19273
2001,"Manitoba, province of origin",3067
2001,"New Brunswick, province of origin",686
2001,"Newfoundland and Labrador, province of origin",587
2001,"Northwest Territories, province of origin",378
2001,"Nova Scotia, province of origin",1439
2001,"Nunavut, province of origin",53
2001,"Ontario, province of origin",14855
2001,"Prince Edward Island, province of origin",159
2001,"Quebec, province of origin",2626
2001,"Saskatchewan, province of origin",3394
2001,"Yukon, province of origin",642
2002,"Alberta, province of origin",21322
2002,"Manitoba, province of origin",3039
2002,"New Brunswick, province of origin",609
2002,"Newfoundland and Labrador, province of origin",526
2002,"Northwest Territories, province of origin",354
2002,"Nova Scotia, province of origin",1343
2002,"Nunavut, province of origin",66
2002,"Ontario, province of origin",14816
2002,"Prince Edward Island, province of origin",134
2002,"Quebec, province of origin",2432
2002,"Saskatchewan, province of origin",2975
2002,"Yukon, province of origin",462
2003,"Alberta, province of origin",21778
2003,"Manitoba, province of origin",3248
2003,"New Brunswick, province of origin",635
2003,"Newfoundland and Labrador, province of origin",488
2003,"Northwest Territories, province of origin",405
2003,"Nova Scotia, province of origin",1564
2003,"Nunavut, province of origin",58
2003,"Ontario, province of origin",15659
2003,"Prince Edward Island, province of origin",161
2003,"Quebec, province of origin",2569
2003,"Saskatchewan, province of origin",3279
2003,"Yukon, province of origin",562
2004,"Alberta, province of origin",22152
2004,"Manitoba, province of origin",3960
2004,"New Brunswick, province of origin",814
2004,"Newfoundland and Labrador, province of origin",530
2004,"Northwest Territories, province of origin",505
