Year,Community,Year_mapping,suicide_value,Province
2007,Hamilton,2005/2007,155,Ontario
2007,St. Catharines - Niagara,2005/2007,135,Ontario
2007,Kitchener - Cambridge - Waterloo,2005/2007,105,Ontario
2007,Brantford,2005/2007,40,Ontario
2007,Guelph,2005/2007,35,Ontario
2007,London,2005/2007,140,Ontario
2007,Windsor,2005/2007,85,Ontario
2007,Barrie,2005/2007,55,Ontario
2007,Greater Sudbury,2005/2007,55,Ontario
2007,Thunder Bay,2005/2007,45,Ontario
2007,Winnipeg,2005/2007,230,Manitoba
2007,Regina,2005/2007,50,Saskatchewan
2007,Saskatoon,2005/2007,80,Saskatchewan
2007,Calgary,2005/2007,310,Alberta
2007,Edmonton,2005/2007,360,Alberta
2007,Kelowna,2005/2007,40,British Columbia
2007,Abbotsford - Mission,2005/2007,30,British Columbia
2007,Vancouver,2005/2007,560,British Columbia
2007,Victoria,2005/2007,105,British Columbia
2010,St. John's,2010/2012,60,Newfoundland and Labrador
2010,Halifax,2010/2012,145,Nova Scotia
2010,Moncton,2010/2012,45,New Brunswick
2010,Saint John,2010/2012,55,New Brunswick
2010,Saguenay,2010/2012,70,Quebec
2010,Quebec,2010/2012,310,Quebec
2010,Sherbrooke,2010/2012,90,Quebec
2010,Trois-Rivieres,2010/2012,85,Quebec
2010,Montreal,2010/2012,1290,Quebec
2010,Ottawa - Gatineau (partie du Quebec,2010/2012,135,Quebec
2010,Ottawa - Gatineau (Ontario part,2010/2012,220,Ontario
2010,Kingston,2010/2012,60,Ontario
2010,Peterborough,2010/2012,30,Ontario
2010,Oshawa,2010/2012,90,Ontario
2010,Toronto,2010/2012,1210,Ontario
2010,Hamilton,2010/2012,190,Ontario
2010,St. Catharines - Niagara,2010/2012,125,Ontario
2010,Kitchener - Cambridge - Waterloo,2010/2012,140,Ontario
2010,Brantford,2010/2012,50,Ontario
2010,Guelph,2010/2012,35,Ontario
2010,London,2010/2012,125,Ontario
2010,Windsor,2010/2012,105,Ontario
2010,Barrie,2010/2012,70,Ontario
2010,Greater Sudbury,2010/2012,60,Ontario
2010,Thunder Bay,2010/2012,60,Ontario
2010,Winnipeg,2010/2012,225,Manitoba
2010,Regina,2010/2012,75,Saskatchewan
2010,Saskatoon,2010/2012,85,Saskatchewan
2010,Calgary,2010/2012,395,Alberta
2010,Edmonton,2010/2012,445,Alberta
2010,Kelowna,2010/2012,70,British Columbia
2010,Abbotsford - Mission,2010/2012,35,British Columbia
2010,Vancouver,2010/2012,630,British Columbia
2010,Victoria,2010/2012,140,British Columbia
2011,St. John's,2010/2012,60,Newfoundland and Labrador
2011,Halifax,2010/2012,145,Nova Scotia
2011,Moncton,2010/2012,45,New Brunswick
2011,Saint John,2010/2012,55,New Brunswick
2011,Saguenay,2010/2012,70,Quebec
2011,Quebec,2010/2012,310,Quebec
2011,Sherbrooke,2010/2012,90,Quebec
2011,Trois-Rivieres,2010/2012,85,Quebec
2011,Montreal,2010/2012,1290,Quebec
2011,Ottawa - Gatineau (partie du Quebec,2010/2012,135,Quebec
2011,Ottawa - Gatineau (Ontario part,2010/2012,220,Ontario
2011,Kingston,2010/2012,60,Ontario
2011,Peterborough,2010/2012,30,Ontario
2011,Oshawa,2010/2012,90,Ontario
2011,Toronto,2010/2012,1210,Ontario
2011,Hamilton,2010/2012,190,Ontario
2011,St. Catharines - Niagara,2010/2012,125,Ontario
